,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,utt_id,session,emotion,valence,arousal,dominance,start,end,mfcc_path
59,59,59,59,59,59,59,93,Ses01M_impro03_F014,Session1,hap,4.5,4.0,4.0,92.87,96.13,mfcc_regression/Ses01M_impro03_F014.npy
60,60,60,60,60,60,60,94,Ses01M_impro03_F015,Session1,hap,4.5,4.5,4.5,97.35,103.9875,mfcc_regression/Ses01M_impro03_F015.npy
61,61,61,61,61,61,61,95,Ses01M_impro03_F016,Session1,hap,4.5,4.0,4.0,104.6375,109.06,mfcc_regression/Ses01M_impro03_F016.npy
62,62,62,62,62,62,62,96,Ses01M_impro03_F017,Session1,neu,3.0,2.0,2.5,113.79,116.7,mfcc_regression/Ses01M_impro03_F017.npy
63,63,63,63,63,63,63,97,Ses01M_impro03_F018,Session1,neu,3.5,2.5,3.0,117.21,118.47,mfcc_regression/Ses01M_impro03_F018.npy
64,64,64,64,64,64,64,98,Ses01M_impro03_F019,Session1,hap,4.0,4.0,3.5,120.03,123.64,mfcc_regression/Ses01M_impro03_F019.npy
65,65,65,65,65,65,65,99,Ses01M_impro03_F020,Session1,hap,4.0,3.0,2.5,123.96,125.74,mfcc_regression/Ses01M_impro03_F020.npy
66,66,66,66,66,66,66,100,Ses01M_impro03_F021,Session1,neu,3.5,3.0,3.5,128.06,131.59,mfcc_regression/Ses01M_impro03_F021.npy
67,67,67,67,67,67,67,101,Ses01M_impro03_F022,Session1,hap,4.5,4.0,3.5,132.16,136.15,mfcc_regression/Ses01M_impro03_F022.npy
68,68,68,68,68,68,68,102,Ses01M_impro03_F023,Session1,hap,4.0,4.5,4.0,136.29,144.07,mfcc_regression/Ses01M_impro03_F023.npy
69,69,69,69,69,69,69,103,Ses01M_impro03_F024,Session1,hap,4.0,3.0,3.0,144.61,146.41,mfcc_regression/Ses01M_impro03_F024.npy
70,70,70,70,70,70,70,104,Ses01M_impro03_F025,Session1,hap,4.0,3.5,3.0,147.17,150.845,mfcc_regression/Ses01M_impro03_F025.npy
71,71,71,71,71,71,71,105,Ses01M_impro03_F026,Session1,hap,4.0,3.5,3.5,151.26,153.9075,mfcc_regression/Ses01M_impro03_F026.npy
72,72,72,72,72,72,72,106,Ses01M_impro03_M000,Session1,hap,4.0,3.0,2.5,2.92,5.56,mfcc_regression/Ses01M_impro03_M000.npy
73,73,73,73,73,73,73,107,Ses01M_impro03_M001,Session1,hap,3.5,3.5,3.0,6.31,11.57,mfcc_regression/Ses01M_impro03_M001.npy
74,74,74,74,74,74,74,108,Ses01M_impro03_M003,Session1,neu,3.5,2.5,2.5,13.26,16.87,mfcc_regression/Ses01M_impro03_M003.npy
75,75,75,75,75,75,75,109,Ses01M_impro03_M004,Session1,hap,3.5,4.0,4.0,17.28,26.54,mfcc_regression/Ses01M_impro03_M004.npy
76,76,76,76,76,76,76,110,Ses01M_impro03_M005,Session1,hap,4.5,4.5,4.0,26.6,30.79,mfcc_regression/Ses01M_impro03_M005.npy
77,77,77,77,77,77,77,111,Ses01M_impro03_M006,Session1,neu,4.0,4.0,3.0,32.05,39.5125,mfcc_regression/Ses01M_impro03_M006.npy
78,78,78,78,78,78,78,112,Ses01M_impro03_M007,Session1,hap,5.0,4.5,4.5,39.5775,47.66,mfcc_regression/Ses01M_impro03_M007.npy
79,79,79,79,79,79,79,113,Ses01M_impro03_M008,Session1,hap,4.0,4.0,3.5,48.08,63.1475,mfcc_regression/Ses01M_impro03_M008.npy
80,80,80,80,80,80,80,114,Ses01M_impro03_M010,Session1,hap,4.0,4.0,3.5,70.95,73.63,mfcc_regression/Ses01M_impro03_M010.npy
81,81,81,81,81,81,81,115,Ses01M_impro03_M011,Session1,hap,4.5,4.0,3.5,73.67,75.96,mfcc_regression/Ses01M_impro03_M011.npy
82,82,82,82,82,82,82,116,Ses01M_impro03_M012,Session1,hap,4.0,3.0,3.0,80.76,82.48,mfcc_regression/Ses01M_impro03_M012.npy
83,83,83,83,83,83,83,117,Ses01M_impro03_M013,Session1,hap,4.0,2.5,3.0,84.5075,86.66,mfcc_regression/Ses01M_impro03_M013.npy
84,84,84,84,84,84,84,118,Ses01M_impro03_M014,Session1,neu,3.0,3.0,3.0,87.42,90.96,mfcc_regression/Ses01M_impro03_M014.npy
85,85,85,85,85,85,85,119,Ses01M_impro03_M015,Session1,hap,3.5,2.5,3.0,91.37,93.47,mfcc_regression/Ses01M_impro03_M015.npy
86,86,86,86,86,86,86,120,Ses01M_impro03_M016,Session1,hap,4.5,4.0,3.5,94.77,98.7,mfcc_regression/Ses01M_impro03_M016.npy
87,87,87,87,87,87,87,121,Ses01M_impro03_M017,Session1,hap,4.0,4.0,3.0,103.1,114.43,mfcc_regression/Ses01M_impro03_M017.npy
88,88,88,88,88,88,88,122,Ses01M_impro03_M018,Session1,neu,3.0,2.0,2.5,115.84,117.89,mfcc_regression/Ses01M_impro03_M018.npy
89,89,89,89,89,89,89,123,Ses01M_impro03_M019,Session1,hap,3.5,3.0,2.5,117.98,121.76,mfcc_regression/Ses01M_impro03_M019.npy
90,90,90,90,90,90,90,124,Ses01M_impro03_M020,Session1,hap,3.5,3.0,3.5,121.83,125.14,mfcc_regression/Ses01M_impro03_M020.npy
91,91,91,91,91,91,91,125,Ses01M_impro03_M021,Session1,neu,3.5,3.0,3.5,125.32,134.0075,mfcc_regression/Ses01M_impro03_M021.npy
92,92,92,92,92,92,92,126,Ses01M_impro03_M022,Session1,hap,3.5,4.5,4.0,135.66,145.44,mfcc_regression/Ses01M_impro03_M022.npy
93,93,93,93,93,93,93,127,Ses01M_impro03_M023,Session1,hap,4.5,3.5,3.5,145.97,150.51,mfcc_regression/Ses01M_impro03_M023.npy
94,94,94,94,94,94,94,128,Ses01M_impro03_M024,Session1,hap,4.0,3.0,3.0,150.58,152.04,mfcc_regression/Ses01M_impro03_M024.npy
95,95,95,95,95,95,95,129,Ses01M_impro07_F000,Session1,neu,4.0,2.0,2.5,7.63,8.57,mfcc_regression/Ses01M_impro07_F000.npy
96,96,96,96,96,96,96,130,Ses01M_impro07_F001,Session1,hap,4.5,4.0,3.0,13.95,21.12,mfcc_regression/Ses01M_impro07_F001.npy
97,97,97,97,97,97,97,131,Ses01M_impro07_F003,Session1,hap,3.5,3.0,3.0,27.06,29.81,mfcc_regression/Ses01M_impro07_F003.npy
98,98,98,98,98,98,98,132,Ses01M_impro07_F004,Session1,hap,4.0,3.5,3.0,30.31,33.08,mfcc_regression/Ses01M_impro07_F004.npy
99,99,99,99,99,99,99,133,Ses01M_impro07_F005,Session1,hap,4.5,4.0,3.0,33.72,37.27,mfcc_regression/Ses01M_impro07_F005.npy
100,100,100,100,100,100,100,134,Ses01M_impro07_F006,Session1,hap,3.5,3.5,3.0,37.88,42.5825,mfcc_regression/Ses01M_impro07_F006.npy
101,101,101,101,101,101,101,135,Ses01M_impro07_F007,Session1,hap,3.5,2.5,3.0,45.145,49.2825,mfcc_regression/Ses01M_impro07_F007.npy
102,102,102,102,102,102,102,136,Ses01M_impro07_F008,Session1,hap,4.0,2.5,3.0,49.64,52.1,mfcc_regression/Ses01M_impro07_F008.npy
103,103,103,103,103,103,103,137,Ses01M_impro07_F009,Session1,hap,4.0,2.5,3.5,52.46,57.4562,mfcc_regression/Ses01M_impro07_F009.npy
104,104,104,104,104,104,104,138,Ses01M_impro07_F010,Session1,neu,3.0,2.0,2.0,58.78,60.21,mfcc_regression/Ses01M_impro07_F010.npy
105,105,105,105,105,105,105,139,Ses01M_impro07_F011,Session1,hap,3.0,2.5,2.5,60.81,66.77,mfcc_regression/Ses01M_impro07_F011.npy
106,106,106,106,106,106,106,140,Ses01M_impro07_F012,Session1,neu,4.0,3.0,2.5,68.64,72.35,mfcc_regression/Ses01M_impro07_F012.npy
107,107,107,107,107,107,107,141,Ses01M_impro07_F013,Session1,hap,3.5,2.5,2.5,72.84,76.23,mfcc_regression/Ses01M_impro07_F013.npy
108,108,108,108,108,108,108,142,Ses01M_impro07_F014,Session1,hap,4.0,3.0,3.0,76.59,87.8575,mfcc_regression/Ses01M_impro07_F014.npy
109,109,109,109,109,109,109,143,Ses01M_impro07_F015,Session1,hap,4.0,2.5,2.5,88.4125,92.41,mfcc_regression/Ses01M_impro07_F015.npy
110,110,110,110,110,110,110,144,Ses01M_impro07_F016,Session1,hap,4.0,3.0,2.5,95.26,101.5,mfcc_regression/Ses01M_impro07_F016.npy
111,111,111,111,111,111,111,145,Ses01M_impro07_F018,Session1,hap,3.5,3.0,2.5,111.59,116.34,mfcc_regression/Ses01M_impro07_F018.npy
112,112,112,112,112,112,112,146,Ses01M_impro07_F020,Session1,neu,3.0,2.5,2.5,121.15,125.25,mfcc_regression/Ses01M_impro07_F020.npy
113,113,113,113,113,113,113,147,Ses01M_impro07_F021,Session1,hap,3.5,3.0,2.5,125.31,132.5725,mfcc_regression/Ses01M_impro07_F021.npy
114,114,114,114,114,114,114,148,Ses01M_impro07_F022,Session1,hap,4.0,3.5,3.5,132.86,138.12,mfcc_regression/Ses01M_impro07_F022.npy
115,115,115,115,115,115,115,149,Ses01M_impro07_F023,Session1,hap,4.0,3.0,2.5,139.07,141.8,mfcc_regression/Ses01M_impro07_F023.npy
116,116,116,116,116,116,116,150,Ses01M_impro07_F024,Session1,hap,3.5,3.0,2.5,141.99,144.485,mfcc_regression/Ses01M_impro07_F024.npy
117,117,117,117,117,117,117,151,Ses01M_impro07_F025,Session1,hap,4.0,3.5,2.5,144.66,148.265,mfcc_regression/Ses01M_impro07_F025.npy
118,118,118,118,118,118,118,152,Ses01M_impro07_F026,Session1,hap,4.0,4.0,3.5,149.71,154.92,mfcc_regression/Ses01M_impro07_F026.npy
119,119,119,119,119,119,119,153,Ses01M_impro07_F027,Session1,hap,4.5,4.0,3.0,156.18,167.8,mfcc_regression/Ses01M_impro07_F027.npy
120,120,120,120,120,120,120,154,Ses01M_impro07_F033,Session1,hap,3.0,3.0,3.0,192.7,195.05,mfcc_regression/Ses01M_impro07_F033.npy
121,121,121,121,121,121,121,155,Ses01M_impro07_F034,Session1,hap,4.0,3.5,3.5,195.17,205.4775,mfcc_regression/Ses01M_impro07_F034.npy
122,122,122,122,122,122,122,156,Ses01M_impro07_M000,Session1,hap,4.0,4.0,3.0,2.6812,7.98,mfcc_regression/Ses01M_impro07_M000.npy
123,123,123,123,123,123,123,157,Ses01M_impro07_M001,Session1,hap,4.0,3.0,3.0,8.22,14.75,mfcc_regression/Ses01M_impro07_M001.npy
124,124,124,124,124,124,124,158,Ses01M_impro07_M002,Session1,hap,5.0,3.5,4.0,15.54,20.67,mfcc_regression/Ses01M_impro07_M002.npy
125,125,125,125,125,125,125,159,Ses01M_impro07_M003,Session1,hap,4.0,4.0,3.0,20.92,34.38,mfcc_regression/Ses01M_impro07_M003.npy
126,126,126,126,126,126,126,160,Ses01M_impro07_M004,Session1,hap,4.5,3.5,2.5,34.76,38.66,mfcc_regression/Ses01M_impro07_M004.npy
127,127,127,127,127,127,127,161,Ses01M_impro07_M005,Session1,hap,4.0,4.0,3.0,38.78,48.28,mfcc_regression/Ses01M_impro07_M005.npy
128,128,128,128,128,128,128,162,Ses01M_impro07_M006,Session1,hap,4.0,3.0,2.0,48.73,52.86,mfcc_regression/Ses01M_impro07_M006.npy
129,129,129,129,129,129,129,163,Ses01M_impro07_M007,Session1,hap,4.0,4.0,2.5,54.63,56.31,mfcc_regression/Ses01M_impro07_M007.npy
130,130,130,130,130,130,130,164,Ses01M_impro07_M008,Session1,hap,4.0,3.0,2.5,56.53,61.35,mfcc_regression/Ses01M_impro07_M008.npy
131,131,131,131,131,131,131,165,Ses01M_impro07_M009,Session1,hap,3.0,2.5,2.5,61.59,63.56,mfcc_regression/Ses01M_impro07_M009.npy
132,132,132,132,132,132,132,166,Ses01M_impro07_M010,Session1,hap,3.5,3.0,3.0,66.3983,78.9,mfcc_regression/Ses01M_impro07_M010.npy
133,133,133,133,133,133,133,167,Ses01M_impro07_M011,Session1,hap,4.0,3.0,2.5,80.6825,83.82,mfcc_regression/Ses01M_impro07_M011.npy
134,134,134,134,134,134,134,168,Ses01M_impro07_M013,Session1,hap,3.5,2.5,2.5,90.92,102.61,mfcc_regression/Ses01M_impro07_M013.npy
135,135,135,135,135,135,135,169,Ses01M_impro07_M017,Session1,hap,4.0,3.5,2.5,131.95,134.62,mfcc_regression/Ses01M_impro07_M017.npy
136,136,136,136,136,136,136,170,Ses01M_impro07_M018,Session1,hap,3.5,3.5,3.0,135.305,141.01,mfcc_regression/Ses01M_impro07_M018.npy
137,137,137,137,137,137,137,171,Ses01M_impro07_M019,Session1,hap,3.5,2.5,2.5,141.34,142.68,mfcc_regression/Ses01M_impro07_M019.npy
138,138,138,138,138,138,138,172,Ses01M_impro07_M020,Session1,neu,3.5,2.5,2.5,143.98,147.84,mfcc_regression/Ses01M_impro07_M020.npy
139,139,139,139,139,139,139,175,Ses01M_impro07_M024,Session1,hap,4.0,3.0,3.0,165.1825,169.6425,mfcc_regression/Ses01M_impro07_M024.npy
140,140,140,140,140,140,140,176,Ses01M_impro07_M026,Session1,neu,2.5,3.0,2.5,172.46,175.3625,mfcc_regression/Ses01M_impro07_M026.npy
141,141,141,141,141,141,141,177,Ses01M_impro07_M030,Session1,neu,3.0,2.5,1.5,192.22,194.25,mfcc_regression/Ses01M_impro07_M030.npy
142,142,142,142,142,142,142,178,Ses01M_impro07_M032,Session1,hap,4.0,3.0,2.5,196.38,199.86,mfcc_regression/Ses01M_impro07_M032.npy
143,143,143,143,143,143,143,179,Ses01M_impro07_M033,Session1,hap,3.5,2.5,1.5,204.81,206.6,mfcc_regression/Ses01M_impro07_M033.npy
144,144,144,144,144,144,144,180,Ses01M_impro06_F000,Session1,neu,3.0,2.5,2.0,10.0955,12.68,mfcc_regression/Ses01M_impro06_F000.npy
145,145,145,145,145,145,145,181,Ses01M_impro06_F001,Session1,neu,3.0,2.0,2.5,23.26,26.3875,mfcc_regression/Ses01M_impro06_F001.npy
146,146,146,146,146,146,146,182,Ses01M_impro06_F002,Session1,neu,3.0,2.0,2.5,39.43,41.75,mfcc_regression/Ses01M_impro06_F002.npy
147,147,147,147,147,147,147,183,Ses01M_impro06_F003,Session1,sad,2.5,2.0,2.5,61.86,64.65,mfcc_regression/Ses01M_impro06_F003.npy
148,148,148,148,148,148,148,184,Ses01M_impro06_F004,Session1,sad,2.5,2.0,2.0,67.277,70.12,mfcc_regression/Ses01M_impro06_F004.npy
149,149,149,149,149,149,149,185,Ses01M_impro06_F005,Session1,sad,2.5,2.0,3.5,70.205,72.2704,mfcc_regression/Ses01M_impro06_F005.npy
150,150,150,150,150,150,150,186,Ses01M_impro06_F006,Session1,sad,3.0,2.0,2.5,76.5016,79.03,mfcc_regression/Ses01M_impro06_F006.npy
151,151,151,151,151,151,151,187,Ses01M_impro06_F007,Session1,neu,3.0,2.0,3.0,87.2562,89.47,mfcc_regression/Ses01M_impro06_F007.npy
152,152,152,152,152,152,152,188,Ses01M_impro06_F008,Session1,neu,2.5,2.0,2.5,94.62,96.52,mfcc_regression/Ses01M_impro06_F008.npy
153,153,153,153,153,153,153,189,Ses01M_impro06_F009,Session1,neu,2.5,3.0,3.0,97.45,101.42,mfcc_regression/Ses01M_impro06_F009.npy
154,154,154,154,154,154,154,190,Ses01M_impro06_F010,Session1,neu,2.5,3.0,3.0,101.5,105.8675,mfcc_regression/Ses01M_impro06_F010.npy
155,155,155,155,155,155,155,191,Ses01M_impro06_F011,Session1,neu,2.5,2.0,2.5,107.02,108.56,mfcc_regression/Ses01M_impro06_F011.npy
156,156,156,156,156,156,156,192,Ses01M_impro06_F012,Session1,neu,2.5,2.5,2.5,112.615,113.9775,mfcc_regression/Ses01M_impro06_F012.npy
157,157,157,157,157,157,157,193,Ses01M_impro06_F013,Session1,neu,2.5,3.0,3.0,117.85,120.8,mfcc_regression/Ses01M_impro06_F013.npy
158,158,158,158,158,158,158,194,Ses01M_impro06_F014,Session1,neu,3.0,2.5,2.5,131.1825,132.555,mfcc_regression/Ses01M_impro06_F014.npy
159,159,159,159,159,159,159,195,Ses01M_impro06_F015,Session1,neu,3.0,2.5,2.5,143.9425,145.16,mfcc_regression/Ses01M_impro06_F015.npy
160,160,160,160,160,160,160,196,Ses01M_impro06_F016,Session1,neu,3.0,2.0,2.5,145.94,147.78,mfcc_regression/Ses01M_impro06_F016.npy
161,161,161,161,161,161,161,197,Ses01M_impro06_F017,Session1,neu,2.5,3.0,3.0,148.265,150.71,mfcc_regression/Ses01M_impro06_F017.npy
162,162,162,162,162,162,162,198,Ses01M_impro06_F018,Session1,neu,2.5,3.0,3.0,157.23,159.57,mfcc_regression/Ses01M_impro06_F018.npy
163,163,163,163,163,163,163,199,Ses01M_impro06_F019,Session1,neu,3.0,2.5,3.0,159.75,163.9425,mfcc_regression/Ses01M_impro06_F019.npy
164,164,164,164,164,164,164,200,Ses01M_impro06_F020,Session1,neu,2.5,2.5,3.5,178.3706,181.43,mfcc_regression/Ses01M_impro06_F020.npy
165,165,165,165,165,165,165,201,Ses01M_impro06_F021,Session1,neu,2.5,2.0,2.5,184.26,186.2647,mfcc_regression/Ses01M_impro06_F021.npy
166,166,166,166,166,166,166,202,Ses01M_impro06_F022,Session1,neu,2.5,2.0,2.5,188.97,190.92,mfcc_regression/Ses01M_impro06_F022.npy
167,167,167,167,167,167,167,203,Ses01M_impro06_F023,Session1,neu,3.0,2.0,2.5,197.06,199.05,mfcc_regression/Ses01M_impro06_F023.npy
168,168,168,168,168,168,168,204,Ses01M_impro06_F024,Session1,neu,3.0,2.0,3.0,200.3676,203.16,mfcc_regression/Ses01M_impro06_F024.npy
169,169,169,169,169,169,169,205,Ses01M_impro06_F025,Session1,neu,2.5,2.0,2.5,208.8826,210.7397,mfcc_regression/Ses01M_impro06_F025.npy
170,170,170,170,170,170,170,206,Ses01M_impro06_F026,Session1,neu,3.0,3.0,3.0,214.6701,217.6415,mfcc_regression/Ses01M_impro06_F026.npy
